6469_7.txt: { positive score: 11, negative score: 14.0 }, classification: negative, correct: pos
3867_8.txt: { positive score: 31, negative score: 14.0 }, classification: positive, correct: pos
7340_10.txt: { positive score: 14, negative score: 21.0 }, classification: negative, correct: pos
8580_10.txt: { positive score: 28, negative score: 40.25 }, classification: negative, correct: pos
4482_10.txt: { positive score: 22, negative score: 28.0 }, classification: negative, correct: pos
4639_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
10072_10.txt: { positive score: 19, negative score: 7.0 }, classification: positive, correct: pos
1760_9.txt: { positive score: 14, negative score: 10.5 }, classification: positive, correct: pos
4499_8.txt: { positive score: 34, negative score: 21.0 }, classification: positive, correct: pos
5293_9.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
10587_10.txt: { positive score: 2, negative score: 12.25 }, classification: negative, correct: pos
12240_10.txt: { positive score: 1, negative score: 3.5 }, classification: negative, correct: pos
3806_8.txt: { positive score: 7, negative score: 3.5 }, classification: positive, correct: pos
2521_10.txt: { positive score: 7, negative score: 3.5 }, classification: positive, correct: pos
2574_10.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
11619_9.txt: { positive score: 34, negative score: 31.5 }, classification: positive, correct: pos
1075_9.txt: { positive score: 18, negative score: 15.75 }, classification: positive, correct: pos
11736_9.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
5489_8.txt: { positive score: 29, negative score: 10.5 }, classification: positive, correct: pos
7001_10.txt: { positive score: 8, negative score: 12.25 }, classification: negative, correct: pos
943_8.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
11451_7.txt: { positive score: 19, negative score: 12.25 }, classification: positive, correct: pos
265_9.txt: { positive score: 10, negative score: 5.25 }, classification: positive, correct: pos
466_9.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
1783_10.txt: { positive score: 16, negative score: 19.25 }, classification: negative, correct: pos
7062_9.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
4828_8.txt: { positive score: 20, negative score: 24.5 }, classification: negative, correct: pos
5787_8.txt: { positive score: 8, negative score: 12.25 }, classification: negative, correct: pos
11339_9.txt: { positive score: 10, negative score: 5.25 }, classification: positive, correct: pos
10693_10.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
8101_8.txt: { positive score: 27, negative score: 15.75 }, classification: positive, correct: pos
11755_7.txt: { positive score: 7, negative score: 0 }, classification: positive, correct: pos
5442_8.txt: { positive score: 10, negative score: 5.25 }, classification: positive, correct: pos
2200_10.txt: { positive score: 4, negative score: 3.5 }, classification: positive, correct: pos
2086_10.txt: { positive score: 12, negative score: 0 }, classification: positive, correct: pos
9072_10.txt: { positive score: 11, negative score: 5.25 }, classification: positive, correct: pos
8090_8.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
325_10.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
6647_10.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
12424_7.txt: { positive score: 16, negative score: 14.0 }, classification: positive, correct: pos
5440_8.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
5263_9.txt: { positive score: 9, negative score: 12.25 }, classification: negative, correct: pos
10805_7.txt: { positive score: 22, negative score: 12.25 }, classification: positive, correct: pos
1595_10.txt: { positive score: 17, negative score: 12.25 }, classification: positive, correct: pos
931_9.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
4442_10.txt: { positive score: 20, negative score: 10.5 }, classification: positive, correct: pos
7035_10.txt: { positive score: 18, negative score: 14.0 }, classification: positive, correct: pos
7555_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
14_8.txt: { positive score: 10, negative score: 8.75 }, classification: positive, correct: pos
2568_8.txt: { positive score: 38, negative score: 31.5 }, classification: positive, correct: pos
5986_9.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
11975_8.txt: { positive score: 35, negative score: 35.0 }, classification: negative, correct: pos
5060_7.txt: { positive score: 20, negative score: 26.25 }, classification: negative, correct: pos
11867_8.txt: { positive score: 16, negative score: 15.75 }, classification: positive, correct: pos
10708_9.txt: { positive score: 37, negative score: 35.0 }, classification: positive, correct: pos
2308_9.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
5901_10.txt: { positive score: 7, negative score: 10.5 }, classification: negative, correct: pos
2802_8.txt: { positive score: 35, negative score: 22.75 }, classification: positive, correct: pos
8478_9.txt: { positive score: 25, negative score: 28.0 }, classification: negative, correct: pos
2577_8.txt: { positive score: 12, negative score: 8.75 }, classification: positive, correct: pos
7209_9.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
10955_10.txt: { positive score: 26, negative score: 24.5 }, classification: positive, correct: pos
7269_8.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
5730_10.txt: { positive score: 22, negative score: 43.75 }, classification: negative, correct: pos
12241_8.txt: { positive score: 28, negative score: 26.25 }, classification: positive, correct: pos
1960_9.txt: { positive score: 12, negative score: 8.75 }, classification: positive, correct: pos
2166_8.txt: { positive score: 10, negative score: 3.5 }, classification: positive, correct: pos
4561_10.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
1142_7.txt: { positive score: 1, negative score: 0 }, classification: positive, correct: pos
1225_7.txt: { positive score: 7, negative score: 10.5 }, classification: negative, correct: pos
602_10.txt: { positive score: 22, negative score: 31.5 }, classification: negative, correct: pos
977_9.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
11843_9.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
6594_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
9204_8.txt: { positive score: 21, negative score: 22.75 }, classification: negative, correct: pos
10092_8.txt: { positive score: 8, negative score: 8.75 }, classification: negative, correct: pos
6987_10.txt: { positive score: 10, negative score: 10.5 }, classification: negative, correct: pos
10834_10.txt: { positive score: 10, negative score: 3.5 }, classification: positive, correct: pos
11527_10.txt: { positive score: 15, negative score: 10.5 }, classification: positive, correct: pos
1502_10.txt: { positive score: 0, negative score: 1.75 }, classification: negative, correct: pos
8049_7.txt: { positive score: 13, negative score: 15.75 }, classification: negative, correct: pos
2085_7.txt: { positive score: 18, negative score: 10.5 }, classification: positive, correct: pos
7956_10.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
5368_8.txt: { positive score: 7, negative score: 8.75 }, classification: negative, correct: pos
1183_10.txt: { positive score: 13, negative score: 15.75 }, classification: negative, correct: pos
3062_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
8406_7.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
6604_7.txt: { positive score: 14, negative score: 14.0 }, classification: negative, correct: pos
5061_9.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
2442_10.txt: { positive score: 3, negative score: 3.5 }, classification: negative, correct: pos
2514_7.txt: { positive score: 15, negative score: 1.75 }, classification: positive, correct: pos
1973_9.txt: { positive score: 10, negative score: 3.5 }, classification: positive, correct: pos
3606_7.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
6716_8.txt: { positive score: 22, negative score: 31.5 }, classification: negative, correct: pos
815_7.txt: { positive score: 10, negative score: 5.25 }, classification: positive, correct: pos
1338_7.txt: { positive score: 14, negative score: 21.0 }, classification: negative, correct: pos
2265_9.txt: { positive score: 32, negative score: 29.75 }, classification: positive, correct: pos
3328_8.txt: { positive score: 1, negative score: 3.5 }, classification: negative, correct: pos
11492_10.txt: { positive score: 0, negative score: 0 }, classification: negative, correct: pos
7937_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
6992_9.txt: { positive score: 34, negative score: 40.25 }, classification: negative, correct: pos
2840_9.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
10201_7.txt: { positive score: 3, negative score: 3.5 }, classification: negative, correct: pos
11109_7.txt: { positive score: 2, negative score: 0 }, classification: positive, correct: pos
5155_7.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
2352_7.txt: { positive score: 26, negative score: 22.75 }, classification: positive, correct: pos
7286_8.txt: { positive score: 19, negative score: 21.0 }, classification: negative, correct: pos
7922_8.txt: { positive score: 26, negative score: 49.0 }, classification: negative, correct: pos
3856_7.txt: { positive score: 19, negative score: 17.5 }, classification: positive, correct: pos
11547_9.txt: { positive score: 0, negative score: 0 }, classification: negative, correct: pos
8704_9.txt: { positive score: 6, negative score: 7.0 }, classification: negative, correct: pos
10245_9.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
1050_9.txt: { positive score: 6, negative score: 10.5 }, classification: negative, correct: pos
11683_9.txt: { positive score: 33, negative score: 49.0 }, classification: negative, correct: pos
25_10.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
4383_10.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
1184_10.txt: { positive score: 18, negative score: 31.5 }, classification: negative, correct: pos
8379_8.txt: { positive score: 14, negative score: 10.5 }, classification: positive, correct: pos
9710_9.txt: { positive score: 7, negative score: 15.75 }, classification: negative, correct: pos
9142_8.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
2119_9.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
3373_8.txt: { positive score: 28, negative score: 28.0 }, classification: negative, correct: pos
2841_9.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
3927_9.txt: { positive score: 25, negative score: 22.75 }, classification: positive, correct: pos
12128_7.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
637_9.txt: { positive score: 43, negative score: 63.0 }, classification: negative, correct: pos
5279_9.txt: { positive score: 19, negative score: 17.5 }, classification: positive, correct: pos
5992_10.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
2096_9.txt: { positive score: 14, negative score: 15.75 }, classification: negative, correct: pos
9725_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
2646_10.txt: { positive score: 50, negative score: 91.0 }, classification: negative, correct: pos
10082_8.txt: { positive score: 6, negative score: 7.0 }, classification: negative, correct: pos
5618_7.txt: { positive score: 18, negative score: 28.0 }, classification: negative, correct: pos
11271_9.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
1322_9.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
2971_10.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
5363_8.txt: { positive score: 15, negative score: 21.0 }, classification: negative, correct: pos
5053_8.txt: { positive score: 13, negative score: 22.75 }, classification: negative, correct: pos
12398_10.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
744_10.txt: { positive score: 9, negative score: 5.25 }, classification: positive, correct: pos
3417_9.txt: { positive score: 11, negative score: 17.5 }, classification: negative, correct: pos
9966_10.txt: { positive score: 9, negative score: 0 }, classification: positive, correct: pos
9337_10.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
6227_8.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
11178_10.txt: { positive score: 2, negative score: 5.25 }, classification: negative, correct: pos
525_9.txt: { positive score: 15, negative score: 8.75 }, classification: positive, correct: pos
5448_7.txt: { positive score: 15, negative score: 10.5 }, classification: positive, correct: pos
7099_10.txt: { positive score: 5, negative score: 43.75 }, classification: negative, correct: pos
4793_10.txt: { positive score: 44, negative score: 40.25 }, classification: positive, correct: pos
1680_10.txt: { positive score: 60, negative score: 47.25 }, classification: positive, correct: pos
11111_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
3418_8.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
191_9.txt: { positive score: 43, negative score: 40.25 }, classification: positive, correct: pos
2443_10.txt: { positive score: 11, negative score: 8.75 }, classification: positive, correct: pos
5218_7.txt: { positive score: 25, negative score: 35.0 }, classification: negative, correct: pos
8554_9.txt: { positive score: 23, negative score: 21.0 }, classification: positive, correct: pos
10419_8.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
5541_7.txt: { positive score: 12, negative score: 7.0 }, classification: positive, correct: pos
6001_9.txt: { positive score: 35, negative score: 31.5 }, classification: positive, correct: pos
6006_8.txt: { positive score: 14, negative score: 12.25 }, classification: positive, correct: pos
4024_10.txt: { positive score: 8, negative score: 1.75 }, classification: positive, correct: pos
5046_9.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
2930_10.txt: { positive score: 70, negative score: 89.25 }, classification: negative, correct: pos
8051_10.txt: { positive score: 5, negative score: 3.5 }, classification: positive, correct: pos
1022_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
8778_10.txt: { positive score: 28, negative score: 21.0 }, classification: positive, correct: pos
6996_9.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
7987_8.txt: { positive score: 13, negative score: 12.25 }, classification: positive, correct: pos
4050_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
1923_9.txt: { positive score: 15, negative score: 15.75 }, classification: negative, correct: pos
7844_9.txt: { positive score: 13, negative score: 7.0 }, classification: positive, correct: pos
8969_7.txt: { positive score: 16, negative score: 14.0 }, classification: positive, correct: pos
6298_7.txt: { positive score: 17, negative score: 14.0 }, classification: positive, correct: pos
10213_7.txt: { positive score: 14, negative score: 10.5 }, classification: positive, correct: pos
2208_10.txt: { positive score: 22, negative score: 7.0 }, classification: positive, correct: pos
10365_7.txt: { positive score: 11, negative score: 12.25 }, classification: negative, correct: pos
6349_9.txt: { positive score: 19, negative score: 19.25 }, classification: negative, correct: pos
10837_10.txt: { positive score: 11, negative score: 10.5 }, classification: positive, correct: pos
12123_7.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
11673_10.txt: { positive score: 3, negative score: 8.75 }, classification: negative, correct: pos
11770_10.txt: { positive score: 13, negative score: 0 }, classification: positive, correct: pos
4369_10.txt: { positive score: 18, negative score: 14.0 }, classification: positive, correct: pos
4779_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
11751_9.txt: { positive score: 25, negative score: 14.0 }, classification: positive, correct: pos
11435_9.txt: { positive score: 8, negative score: 8.75 }, classification: negative, correct: pos
8760_9.txt: { positive score: 8, negative score: 10.5 }, classification: negative, correct: pos
1841_10.txt: { positive score: 7, negative score: 0 }, classification: positive, correct: pos
3077_9.txt: { positive score: 12, negative score: 12.25 }, classification: negative, correct: pos
5639_9.txt: { positive score: 12, negative score: 10.5 }, classification: positive, correct: pos
8695_8.txt: { positive score: 3, negative score: 5.25 }, classification: negative, correct: pos
3022_7.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
8552_9.txt: { positive score: 8, negative score: 1.75 }, classification: positive, correct: pos
5684_8.txt: { positive score: 14, negative score: 17.5 }, classification: negative, correct: pos
12461_8.txt: { positive score: 8, negative score: 1.75 }, classification: positive, correct: pos
8321_10.txt: { positive score: 20, negative score: 31.5 }, classification: negative, correct: pos
2256_9.txt: { positive score: 17, negative score: 21.0 }, classification: negative, correct: pos
7789_10.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
6590_7.txt: { positive score: 20, negative score: 24.5 }, classification: negative, correct: pos
5460_10.txt: { positive score: 2, negative score: 0 }, classification: positive, correct: pos
1194_10.txt: { positive score: 16, negative score: 15.75 }, classification: positive, correct: pos
2566_9.txt: { positive score: 20, negative score: 17.5 }, classification: positive, correct: pos
811_10.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
1180_7.txt: { positive score: 13, negative score: 7.0 }, classification: positive, correct: pos
7046_7.txt: { positive score: 12, negative score: 3.5 }, classification: positive, correct: pos
12331_9.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
972_7.txt: { positive score: 12, negative score: 1.75 }, classification: positive, correct: pos
5093_10.txt: { positive score: 9, negative score: 0 }, classification: positive, correct: pos
2526_10.txt: { positive score: 25, negative score: 22.75 }, classification: positive, correct: pos
1652_10.txt: { positive score: 3, negative score: 3.5 }, classification: negative, correct: pos
775_9.txt: { positive score: 14, negative score: 8.75 }, classification: positive, correct: pos
4516_10.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
6934_10.txt: { positive score: 20, negative score: 14.0 }, classification: positive, correct: pos
3438_8.txt: { positive score: 24, negative score: 29.75 }, classification: negative, correct: pos
4924_10.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
2659_10.txt: { positive score: 9, negative score: 8.75 }, classification: positive, correct: pos
1029_10.txt: { positive score: 15, negative score: 15.75 }, classification: negative, correct: pos
8010_9.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
12191_9.txt: { positive score: 24, negative score: 24.5 }, classification: negative, correct: pos
12264_7.txt: { positive score: 13, negative score: 10.5 }, classification: positive, correct: pos
5649_7.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
405_10.txt: { positive score: 26, negative score: 28.0 }, classification: negative, correct: pos
1947_8.txt: { positive score: 21, negative score: 68.25 }, classification: negative, correct: pos
946_7.txt: { positive score: 12, negative score: 8.75 }, classification: positive, correct: pos
12481_10.txt: { positive score: 13, negative score: 14.0 }, classification: negative, correct: pos
2278_10.txt: { positive score: 11, negative score: 0 }, classification: positive, correct: pos
2956_7.txt: { positive score: 22, negative score: 24.5 }, classification: negative, correct: pos
855_9.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
1226_7.txt: { positive score: 10, negative score: 7.0 }, classification: positive, correct: pos
8976_8.txt: { positive score: 16, negative score: 19.25 }, classification: negative, correct: pos
8141_10.txt: { positive score: 12, negative score: 1.75 }, classification: positive, correct: pos
4548_10.txt: { positive score: 3, negative score: 1.75 }, classification: positive, correct: pos
11810_10.txt: { positive score: 16, negative score: 21.0 }, classification: negative, correct: pos
4613_9.txt: { positive score: 6, negative score: 7.0 }, classification: negative, correct: pos
2094_10.txt: { positive score: 24, negative score: 19.25 }, classification: positive, correct: pos
9200_10.txt: { positive score: 23, negative score: 35.0 }, classification: negative, correct: pos
11012_10.txt: { positive score: 11, negative score: 12.25 }, classification: negative, correct: pos
11776_10.txt: { positive score: 8, negative score: 8.75 }, classification: negative, correct: pos
9133_7.txt: { positive score: 18, negative score: 19.25 }, classification: negative, correct: pos
9589_10.txt: { positive score: 9, negative score: 12.25 }, classification: negative, correct: pos
3809_9.txt: { positive score: 2, negative score: 0 }, classification: positive, correct: pos
9822_7.txt: { positive score: 5, negative score: 8.75 }, classification: negative, correct: pos
9646_10.txt: { positive score: 13, negative score: 7.0 }, classification: positive, correct: pos
10872_9.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
10782_8.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
6873_8.txt: { positive score: 21, negative score: 15.75 }, classification: positive, correct: pos
5776_8.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
6779_10.txt: { positive score: 4, negative score: 5.25 }, classification: negative, correct: pos
11428_7.txt: { positive score: 2, negative score: 0 }, classification: positive, correct: pos
5862_7.txt: { positive score: 22, negative score: 24.5 }, classification: negative, correct: pos
5903_9.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
1924_10.txt: { positive score: 36, negative score: 43.75 }, classification: negative, correct: pos
971_10.txt: { positive score: 21, negative score: 15.75 }, classification: positive, correct: pos
8537_9.txt: { positive score: 7, negative score: 15.75 }, classification: negative, correct: pos
4862_9.txt: { positive score: 12, negative score: 0 }, classification: positive, correct: pos
1121_7.txt: { positive score: 34, negative score: 22.75 }, classification: positive, correct: pos
6791_10.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
5756_9.txt: { positive score: 5, negative score: 12.25 }, classification: negative, correct: pos
12225_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
12405_10.txt: { positive score: 13, negative score: 10.5 }, classification: positive, correct: pos
156_9.txt: { positive score: 9, negative score: 5.25 }, classification: positive, correct: pos
6584_7.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
2565_8.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
3759_7.txt: { positive score: 7, negative score: 8.75 }, classification: negative, correct: pos
651_9.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
5919_8.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
9711_9.txt: { positive score: 14, negative score: 8.75 }, classification: positive, correct: pos
6538_9.txt: { positive score: 17, negative score: 3.5 }, classification: positive, correct: pos
9504_9.txt: { positive score: 4, negative score: 3.5 }, classification: positive, correct: pos
2978_8.txt: { positive score: 39, negative score: 28.0 }, classification: positive, correct: pos
8974_8.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
10179_10.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
10840_9.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
1001_10.txt: { positive score: 18, negative score: 14.0 }, classification: positive, correct: pos
10967_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
131_7.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
10518_7.txt: { positive score: 2, negative score: 3.5 }, classification: negative, correct: pos
5533_7.txt: { positive score: 0, negative score: 0 }, classification: negative, correct: pos
7376_8.txt: { positive score: 56, negative score: 56.0 }, classification: negative, correct: pos
10329_10.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
8679_10.txt: { positive score: 14, negative score: 1.75 }, classification: positive, correct: pos
5107_10.txt: { positive score: 22, negative score: 17.5 }, classification: positive, correct: pos
2507_10.txt: { positive score: 16, negative score: 19.25 }, classification: negative, correct: pos
9309_8.txt: { positive score: 17, negative score: 14.0 }, classification: positive, correct: pos
11833_10.txt: { positive score: 19, negative score: 14.0 }, classification: positive, correct: pos
681_7.txt: { positive score: 7, negative score: 7.0 }, classification: negative, correct: pos
7924_8.txt: { positive score: 8, negative score: 14.0 }, classification: negative, correct: pos
7554_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
6721_8.txt: { positive score: 30, negative score: 43.75 }, classification: negative, correct: pos
4320_10.txt: { positive score: 15, negative score: 22.75 }, classification: negative, correct: pos
2374_7.txt: { positive score: 5, negative score: 3.5 }, classification: positive, correct: pos
9911_10.txt: { positive score: 19, negative score: 15.75 }, classification: positive, correct: pos
9114_10.txt: { positive score: 16, negative score: 15.75 }, classification: positive, correct: pos
11999_8.txt: { positive score: 7, negative score: 8.75 }, classification: negative, correct: pos
5853_8.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
158_9.txt: { positive score: 20, negative score: 21.0 }, classification: negative, correct: pos
766_8.txt: { positive score: 5, negative score: 3.5 }, classification: positive, correct: pos
2319_8.txt: { positive score: 11, negative score: 0 }, classification: positive, correct: pos
7718_9.txt: { positive score: 12, negative score: 10.5 }, classification: positive, correct: pos
6726_9.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
5079_8.txt: { positive score: 14, negative score: 14.0 }, classification: negative, correct: pos
11541_9.txt: { positive score: 15, negative score: 14.0 }, classification: positive, correct: pos
10017_8.txt: { positive score: 13, negative score: 17.5 }, classification: negative, correct: pos
5605_10.txt: { positive score: 1, negative score: 3.5 }, classification: negative, correct: pos
1403_7.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
8280_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
3198_10.txt: { positive score: 10, negative score: 5.25 }, classification: positive, correct: pos
1697_7.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
4182_10.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
12156_8.txt: { positive score: 16, negative score: 14.0 }, classification: positive, correct: pos
4857_8.txt: { positive score: 12, negative score: 12.25 }, classification: negative, correct: pos
4162_8.txt: { positive score: 42, negative score: 56.0 }, classification: negative, correct: pos
4675_8.txt: { positive score: 4, negative score: 5.25 }, classification: negative, correct: pos
12327_10.txt: { positive score: 22, negative score: 22.75 }, classification: negative, correct: pos
8990_8.txt: { positive score: 9, negative score: 10.5 }, classification: negative, correct: pos
8114_8.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
198_7.txt: { positive score: 31, negative score: 24.5 }, classification: positive, correct: pos
